ORTHO,GPMATCH,LESSON,READING,WRITING
a,(a-a),1,1,0
á,(á-a),1,1,0
ax,(a-a.x-K),33,1,0
ma,(m-m.a-a),2,1,0
am,(a-a.m-m),2,1,0
e,(e-e),3,1,0
é,(é-e),3,1,0
me,(m-m.e-e),3,1,0
em,(e-e.m-m),3,1,0
o,(o-o),4,1,0
ó,(ó-o),4,1,0
mo,(m-m.o-o),4,1,0
sa,(s-s.a-a),5,1,0
se,(s-s.e-e),5,1,0
sé,(s-s.é-e),5,1,0
so,(s-s.o-o),5,1,0
as,(a-a.s-s),5,1,0
es,(e-e.s-s),5,1,0
os,(o-o.s-s),5,1,0
na,(n-n.a-a),6,1,0
ná,(n-n.á-a),6,1,0
ne,(n-n.e-e),6,1,0
né,(n-n.é-e),6,1,0
no,(n-n.o-o),6,1,0
nó,(n-n.ó-o),6,1,0
an,(a-a.n-n),6,1,0
en,(e-e.n-n),6,1,0
on,(o-o.n-n),6,1,0
ón,(ó-o.n-n),6,1,0
pa,(p-p.a-a),7,1,0
pá,(p-p.á-a),7,1,0
pe,(p-p.e-e),7,1,0
pé,(p-p.é-e),7,1,0
po,(p-p.o-o),7,1,0
pó,(p-p.ó-o),7,1,0
ap,(a-a.p-p),7,1,0
op,(o-o.p-p),7,1,0
i,(i-i),8,1,0
í,(í-i),8,1,0
mi,(m-m.i-i),8,1,0
im,(i-i.m-m),8,1,0
ni,(n-n.i-i),8,1,0
in,(i-i.n-n),8,1,0
pi,(p-p.i-i),8,1,0
pí,(p-p.í-i),8,1,0
si,(s-s.i-i),8,1,0
sí,(s-s.í-i),8,1,0
is,(i-i.s-s),8,1,0
la,(l-l.a-a),10,1,0
lá,(l-l.á-a),10,1,0
le,(l-l.e-e),10,1,0
lé,(l-l.é-e),10,1,0
li,(l-l.i-i),10,1,0
lí,(l-l.í-i),10,1,0
lo,(l-l.o-o),10,1,0
ló,(l-l.ó-o),10,1,0
al,(a-a.l-l),10,1,0
el,(e-e.l-l),10,1,0
él,(é-e.l-l),10,1,0
ol,(o-o.l-l),10,1,0
u,(u-u),11,1,0
ú,(ú-u),11,1,0
mu,(m-m.u-u),11,1,0
um,(u-u.m-m),11,1,0
nu,(n-n.u-u),11,1,0
nú,(n-n.ú-u),11,1,0
un,(u-u.n-n),11,1,0
pu,(p-p.u-u),11,1,0
su,(s-s.u-u),11,1,0
us,(u-u.s-s),11,1,0
lu,(l-l.u-u),11,1,0
ul,(u-u.l-l),11,1,0
ca,(c-k.a-a),12,1,0
cá,(c-k.á-a),12,1,0
co,(c-k.o-o),12,1,0
có,(c-k.ó-o),12,1,0
cu,(c-k.u-u),12,1,0
cú,(c-k.ú-u),12,1,0
ac,(a-a.c-k),12,1,0
ic,(i-i.c-k),12,1,0
oc,(o-o.c-k),12,1,0
da,(d-d.a-a),13,1,0
de,(d-d.e-e),13,1,0
di,(d-d.i-i),13,1,0
do,(d-d.o-o),13,1,0
du,(d-d.u-u),13,1,0
ad,(a-a.d-d),13,1,0
ta,(t-t.a-a),14,1,0
tá,(t-t.á-a),14,1,0
te,(t-t.e-e),14,1,0
té,(t-t.é-e),14,1,0
ti,(t-t.i-i),14,1,0
tí,(t-t.í-i),14,1,0
to,(t-t.o-o),14,1,0
tó,(t-t.ó-o),14,1,0
tu,(t-t.u-u),14,1,0
tú,(t-t.ú-u),14,1,0
ba,(b-b.a-a),15,1,0
be,(b-b.e-e),15,1,0
bé,(b-b.é-e),15,1,0
bi,(b-b.i-i),15,1,0
bo,(b-b.o-o),15,1,0
bó,(b-b.ó-o),15,1,0
bu,(b-b.u-u),15,1,0
ra,(r-R.a-a),16,1,0
re,(r-R.e-e),16,1,0
ri,(r-R.i-i),16,1,0
ro,(r-R.o-o),16,1,0
ru,(r-R.u-u),16,1,0
orra,(o-o.rr-R.a-a),17,1,0
arre,(a-a.rr-R.e-e),17,1,0
orri,(o-o.rr-R.i-i),17,1,0
fa,(f-f.a-a),18,1,0
fe,(f-f.e-e),18,1,0
fi,(f-f.i-i),18,1,0
fo,(f-f.o-o),18,1,0
fu,(f-f.u-u),18,1,0
va,(v-b.a-a),19,1,0
ve,(v-b.e-e),19,1,0
vi,(v-b.i-i),19,1,0
vo,(v-b.o-o),19,1,0
vu,(v-b.u-u),19,1,0
lla,(ll-L.a-a),20,1,0
lle,(ll-L.e-e),20,1,0
lli,(ll-L.i-i),20,1,0
llo,(ll-L.o-o),20,1,0
llu,(ll-L.u-u),20,1,0
ir,(i-i.r-r),21,1,0
or,(o-o.r-r),21,1,0
ar,(a-a.r-r),21,1,0
ur,(u-u.r-r),21,1,0
er,(e-e.r-r),21,1,0
ga,(g-g.a-a),22,1,0
go,(g-g.o-o),22,1,0
gu,(g-g.u-u),22,1,0
gó,(g-g.ó-o),22,1,0
ya,(y-L.a-a),23,1,0
ye,(y-L.e-e),23,1,0
yo,(y-L.o-o),23,1,0
yó,(y-L.ó-o),23,1,0
yu,(y-L.u-u),23,1,0
ja,(j-x.a-a),24,1,0
je,(j-x.e-e),24,1,0
ji,(j-x.i-i),24,1,0
jo,(j-x.o-o),24,1,0
jó,(j-x.ó-o),24,1,0
ju,(j-x.u-u),24,1,0
cha,(ch-C.a-a),25,1,0
che,(ch-C.e-e),25,1,0
chi,(ch-C.i-i),25,1,0
cho,(ch-C.o-o),25,1,0
chu,(ch-C.u-u),25,1,0
que,(qu-k.e-e),26,1,0
qui,(qu-k.i-i),26,1,0
ce,(c-s.e-e),27,1,0
ci,(c-s.i-i),27,1,0
cí,(c-s.í-i),27,1,0
gi,(g-x.i-i),28,1,0
ge,(g-x.e-e),28,1,0
gí,(g-x.í-i),28,1,0
ha,(h-#.a-a),29,1,0
he,(h-#.e-e),29,1,0
hi,(h-#.i-i),29,1,0
ho,(h-#.o-o),29,1,0
hu,(h-#.u-u),29,1,0
gue,(gu-g.e-e),30,1,0
gué,(gu-g.é-e),30,1,0
gui,(gu-g.i-i),30,1,0
guí,(gu-g.í-i),30,1,0
za,(z-s.a-a),31,1,0
ze,(z-s.e-e),31,1,0
zi,(z-s.i-i),31,1,0
zo,(z-s.o-o),31,1,0
zu,(z-s.u-u),31,1,0
iz,(i-i.z-s),31,1,0
ña,(ñ-J.a-a),32,1,0
ñe,(ñ-J.e-e),32,1,0
ñé,(ñ-J.é-e),32,1,0
ñi,(ñ-J.i-i),32,1,0
ñí,(ñ-J.í-i),32,1,0
ño,(ñ-J.o-o),32,1,0
ñó,(ñ-J.ó-o),32,1,0
ñu,(ñ-J.u-u),32,1,0
xa,(x-K.a-a),33,1,0
xe,(x-K.e-e),33,1,0
xi,(x-K.i-i),33,1,0
ex,(e-e.x-K),33,1,0
ka,(k-k.a-a),34,1,0
ke,(k-k.e-e),34,1,0
ki,(k-k.i-i),34,1,0
ko,(k-k.o-o),34,1,0
wa,(w-w.a-a),35,1,0
we,(w-w.e-e),35,1,0
wi,(w-w.i-i),35,1,0
güe,(g-g.ü-w.e-e),36,1,0
güi,(g-g.u-w.i-i),22,1,0
ab,(a-a.b-b),15,1,0
af,(a-a.f-f),18,1,0
ag,(a-a.g-g),22,1,0
aj,(a-a.j-x),24,1,0
at,(a-a.t-t),14,1,0
av,(a-a.v-b),19,1,0
az,(a-a.z-s),31,1,0
eb,(e-e.b-b),15,1,0
ec,(e-e.c-k),12,1,0
ed,(e-e.d-d),13,1,0
ef,(e-e.f-f),18,1,0
eg,(e-e.g-g),22,1,0
ej,(e-e.j-x),24,1,0
ep,(e-e.p-p),7,1,0
et,(e-e.t-t),14,1,0
ev,(e-e.v-b),19,1,0
ez,(e-e.z-s),31,1,0
ib,(i-i.b-b),15,1,0
id,(i-i.d-d),13,1,0
if,(i-i.f-f),18,1,0
ig,(i-i.g-g),22,1,0
ij,(i-i.j-x),24,1,0
il,(i-i.l-l),10,1,0
ip,(i-i.p-p),8,1,0
it,(i-i.t-t),14,1,0
iv,(i-i.v-b),19,1,0
ob,(o-o.b-b),15,1,0
od,(o-o.d-d),13,1,0
of,(o-o.f-f),18,1,0
og,(o-o.g-g),22,1,0
oj,(o-o.j-x),24,1,0
ot,(o-o.t-t),14,1,0
ov,(o-o.v-b),19,1,0
oz,(o-o.z-s),31,1,0
ub,(u-u.b-b),15,1,0
uc,(u-u.c-k),12,1,0
ud,(u-u.d-d),13,1,0
uf,(u-u.f-f),18,1,0
ug,(u-u.g-g),22,1,0
uj,(u-u.j-x),24,1,0
up,(u-u.p-p),11,1,0
ut,(u-u.t-t),14,1,0
uv,(u-u.v-b),19,1,0
uz,(u-u.z-s),31,1,0
